trial  XDAT   ttype  cond   occur  face#  roi#   x      y      w      h      							x	y	w	h
37	72	1	2	1	2	1	390.22	126.93	74.22	128.53
37	72	1	2	1	2	2	399.11	167.47	56	20.8
37	72	1	2	1	2	3	413.78	187.27	27.11	20.27
37	72	1	2	1	2	4	407.56	208.07	40	21.87
37	72	1	2	1	3	1	173.78	309.33	73.78	115.2
37	72	1	2	1	3	2	183.11	341.33	55.56	21.33
37	72	1	2	1	3	3	196.44	361.67	27.11	19.2
37	72	1	2	1	3	4	194.22	381.93	33.33	17.07
37	72	1	2	1	4	1	282.22	298.67	76	124.27
37	72	1	2	1	4	2	291.11	334.93	58.22	22.4
37	72	1	2	1	4	3	306.22	356.33	28.44	22.4
37	72	1	2	1	4	4	302.22	379.8	37.33	20.8
37	72	1	2	1	5	1	391.11	311.47	68.89	113.07
37	72	1	2	1	5	2	399.11	341.33	52.89	20.8
37	72	1	2	1	5	3	412	361.13	26.67	21.87
37	72	1	2	1	5	4	408.89	383.53	33.33	21.33
38	145	2	2	1	0	1	196.27	177.62	76.8	117.76
38	145	2	2	1	0	2	203.38	195.42	65.42	32.43
38	145	2	2	1	0	3	219.73	226.85	30.58	18.77
38	145	2	2	1	0	4	214.76	247.92	39.82	21.33
38	145	2	2	1	1	1	283.02	178.51	76.8	118.61
38	145	2	2	1	1	2	286.58	196.31	68.27	29.87
38	145	2	2	1	1	3	304.36	225.18	31.29	20.48
38	145	2	2	1	1	4	298.67	246.96	44.09	25.6
38	145	2	2	1	2	1	364.09	174.94	78.93	120.32
38	145	2	2	1	2	2	372.62	196.31	61.87	29.01
38	145	2	2	1	2	3	388.27	224.33	31.29	18.77
38	145	2	2	1	2	4	382.58	245.25	41.96	21.33
39	153	2	2	1	0	1	278.04	176.73	71.11	118.61
39	153	2	2	1	0	2	289.42	194.53	56.89	29.87
39	153	2	2	1	0	3	241.07	223.4	29.87	19.63
39	153	2	2	1	0	4	307.91	244.33	35.56	23.89
